Registration ,Agency,Type
N982HP,California Highway Patrol,Helicopter
N978HP,California Highway Patrol,Helicopter
N153HP,California Highway Patrol,Airplane
N202HP,California Highway Patrol,Airplane
N979HP,California Highway Patrol,Helicopter
N137HP,California Highway Patrol,Airplane
N974HP,California Highway Patrol,Helicopter
N976HP,California Highway Patrol,Helicopter
N511HP,California Highway Patrol,Airplane
N159HP,California Highway Patrol,Airplane
N408PD,San Jose Police Department,Helicopter
N408DC,San Jose Police Department,Helicopter
N156HP,California Highway Patrol,Airplane
N981HP,California Highway Patrol,Helicopter
N1116S,Stockton Police Department,Helicopter
N206LW,Stanislaus County Sheriffs Department,Helicopter
N921SD,Fresno County Sheriffs Department,Helicopter
N524MW,Fresno Police Department,Helicopter
N408SD,Santa Clara County Sheriffs Department,Helicopter
